burrow,year,stintID,ring,sex,start_mass,DSL,foragetrip,partnerincoming,exp
DB14,2016,1,EX41743,M,375,8,7,390,UNKNOWN
DB14,2016,3,EX41737,F,400,38,1,445,UNKNOWN
DB14,2016,1,EX41737,F,395,15,6,460,UNKNOWN
DB14,2016,5,EX41737,F,375,50,1,410,UNKNOWN
DB14,2016,3,EX41743,M,355,37,7,400,UNKNOWN
DB14,2016,4,EX41743,M,445,45,4,375,UNKNOWN
DB14,2016,4,EX41737,F,380,40,9,380,UNKNOWN
DB14,2016,2,EX41743,M,415,21,6,445,UNKNOWN
DB14,2016,5,EX41743,M,410,50,1,365,UNKNOWN
DB14,2016,0,EX41743,M,410,3,1,425,UNKNOWN
DB14,2016,0,EX41737,F,435,1,7,NA,UNKNOWN
DB14,2016,2,EX41737,F,390,27,10,440,UNKNOWN
db15,2016,0,EZ01965,M,425,6,5,NA,NEW
db15,2016,1,EZ01965,M,420,19,10,475,NEW
db15,2016,0,EY07273,F,410,11,8,485,NEW
db15,2016,1,EY07273,F,375,29,8,490,NEW
DB15,2019,0,EK59932,F,455,4,1,NA,EXP
DB15,2019,1,EK59932,F,435,6,4,435,EXP
DB15,2019,3,EK59932,F,370,35,6,445,EXP
DB15,2019,1,EZ01668,M,330,26,9,435,EXP
DB15,2019,2,EZ01668,M,390,41,8,465,EXP
DB15,2019,2,EK59932,F,405,16,10,425,EXP
DB15,2019,0,EZ01668,M,385,10,6,475,EXP
DB16,2015,0,EX41791,F,425,5,4,395,NEW
DB16,2015,0,EK59738,M,405,4,1,NA,NEW
DB16,2017,0,EK59738,M,NA,6,25,NA,EXP
DB16,2017,0,EX41791,F,NA,8,15,NA,EXP
DB18,2018,0,EX41756,M,415,1,4,NA,EXP
DB18,2018,0,EZ72866,F,345,5,5,480,EXP
DB18,2018,1,EZ72866,F,375,16,9,480,EXP
DB18,2018,1,EX41756,M,445,10,6,410,EXP
DB18,2018,2,EX41756,M,405,25,6,395,EXP
DB19,2016,0,EJ47567,M,380,6,5,405,UNKNOWN
DB19,2016,3,EJ47567,M,395,26,5,410,UNKNOWN
DB19,2016,4,EJ47567,M,NA,36,3,400,UNKNOWN
